"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R5,R9";"0603R";2;"10k";;;
2;"U2";"MSOP-8";1;"SGM358YMS/TR";;;
3;"C8,C3,C7";"0603C";3;"100n";;;
4;"R11,R6";"0603R";2;"47k";;;
5;"R1";"0603R";1;"1M";;;
6;"U1";"SOICâˆ’8";1;"TLC555CD";;;
7;"D1";"SOD-323";1;"BAT20J";;;
8;"R8";"tc33x-2-103e";1;"tc33x-2-103e";;;
9;"R2";"0603R";1;"10K";;;
10;"R4";"0603R";1;"1K6";;;
11;"R10,R7";"0603R";2;"100k";;;
12;"PAD1,PAD2";"PAD_2x1.5";2;"PAD_2x1.5";;;
13;"C4";"0603C";1;"470p";;;
14;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
15;"C2";"0603C";1;"10n";;;
16;"C1";"0603C";1;"1u";;;
17;"R3";"0603R";1;"330R";;;
18;"K1";"HEADER_MALE_3X1";1;"HEADER_MALE_3X1";;;
